"","Compound","TimePoint"
"WT-DMSO-t6-r1","DMSO",6
"WT-DMSO-t6-r2","DMSO",6
"WT-DMSO-t6-r3","DMSO",6
"WT-carf-t6-r1","carf",6
"WT-carf-t6-r2","carf",6
"WT-carf-t6-r3","carf",6
"WT-26-t6-r1","26",6
"WT-26-t6-r2","26",6
"WT-26-t6-r3","26",6
"WT-22-t6-r1","22",6
"WT-22-t6-r2","22",6
"WT-22-t6-r3","22",6
"WT-13-t6-r1","13",6
"WT-13-t6-r2","13",6
"WT-13-t6-r3","13",6
"WT-18-t6-r1","18",6
"WT-18-t6-r2","18",6
"WT-18-t6-r3","18",6
