"","Compound","TimePoint"
"WT-DMSO-t24-r1","DMSO",24
"WT-DMSO-t24-r2","DMSO",24
"WT-DMSO-t24-r3","DMSO",24
"WT-carf-t24-r1","carf",24
"WT-carf-t24-r2","carf",24
"WT-carf-t24-r3","carf",24
"WT-26-t24-r1","26",24
"WT-26-t24-r2","26",24
"WT-26-t24-r3","26",24
"WT-22-t24-r1","22",24
"WT-22-t24-r2","22",24
"WT-22-t24-r3","22",24
"WT-13-t24-r1","13",24
"WT-13-t24-r2","13",24
"WT-13-t24-r3","13",24
"WT-18-t24-r1","18",24
"WT-18-t24-r2","18",24
"WT-18-t24-r3","18",24
