SampleName,CellType,Compound,TimePoint,Repeat,Well,FluorescencePrestoBlue,FluorescenceCyQUANT,,,,,,,,,,,,,
CFZ_DMSO_t24_r2,CFZ,DMSO,24,2,A11,137576,17151,,,,,,,,,,,,,
CFZ_DMSO_t24_r3,CFZ,DMSO,24,3,A12,163833,14545,,,,,,,,,,,,,
CFZ_26_t24_r1,CFZ,26,24,1,B10,66552,5956,,,,,,,,,,,,,
CFZ_26_t24_r2,CFZ,26,24,2,B11,57930,9974,,,,,,,,,,,,,
CFZ_26_t24_r3,CFZ,26,24,3,B12,53958,6055,,,,,,,,,,,,,
CFZ_22_t24_r1,CFZ,22,24,1,C10,128695,8615,,,,,,,,,,,,,
CFZ_22_t24_r2,CFZ,22,24,2,C11,128981,14879,,,,,,,,,,,,,
CFZ_22_t24_r3,CFZ,22,24,3,C12,118777,10082,,,,,,,,,,,,,
CFZ_13_t24_r1,CFZ,13,24,1,D10,67732,8416,,,,,,,,,,,,,
CFZ_13_t24_r2,CFZ,13,24,2,D11,51971,14036,,,,,,,,,,,,,
CFZ_13_t24_r3,CFZ,13,24,3,D12,78612,12624,,,,,,,,,,,,,
CFZ_18_t24_r1,CFZ,18,24,1,E10,145883,10951,,,,,,,,,,,,,
CFZ_18_t24_r2,CFZ,18,24,2,E11,182997,16245,,,,,,,,,,,,,
CFZ_18_t24_r3,CFZ,18,24,3,E12,189204,15321,,,,,,,,,,,,,
CFZ_DMSO_t48_r1,CFZ,DMSO,48,1,A10,135093,13034,,,,,,,,,,,,,
CFZ_DMSO_t48_r2,CFZ,DMSO,48,2,A11,148066,43116,,,,,,,,,,,,,
CFZ_DMSO_t48_r3,CFZ,DMSO,48,3,A12,133195,35420,,,,,,,,,,,,,
CFZ_26_t48_r1,CFZ,26,48,1,B10,51421,6176,,,,,,,,,,,,,
CFZ_26_t48_r2,CFZ,26,48,2,B11,93162,15476,,,,,,,,,,,,,
CFZ_26_t48_r3,CFZ,26,48,3,B12,50807,7430,,,,,,,,,,,,,
CFZ_22_t48_r1,CFZ,22,48,1,C10,148339,35806,,,,,,,,,,,,,
CFZ_22_t48_r2,CFZ,22,48,2,C11,134590,15302,,,,,,,,,,,,,
CFZ_22_t48_r3,CFZ,22,48,3,C12,147805,16140,,,,,,,,,,,,,
CFZ_13_t48_r1,CFZ,13,48,1,D10,38827,7348,,,,,,,,,,,,,
CFZ_13_t48_r2,CFZ,13,48,2,D11,35755,6744,,,,,,,,,,,,,
CFZ_13_t48_r3,CFZ,13,48,3,D12,52738,9319,,,,,,,,,,,,,
CFZ_18_t48_r1,CFZ,18,48,1,E10,111758,10659,,,,,,,,,,,,,
CFZ_18_t48_r2,CFZ,18,48,2,E11,132930,27209,,,,,,,,,,,,,
CFZ_18_t48_r3,CFZ,18,48,3,E12,150625,15064,,,,,,,,,,,,,
medium_t6_1,n/a,n/a,6,1,A6,19376,6180,,,,,,,,,,,,,
medium_t6_2,n/a,n/a,6,2,B6,18965,6080,,,,,,,,,,,,,
medium_t6_3,n/a,n/a,6,3,C6,19189,5881,,,,,,,,,,,,,
medium_t6_4,n/a,n/a,6,4,D6,20171,6007,,,,,,,,,,,,,
medium_t6_5,n/a,n/a,6,5,E6,19233,6170,,,,,,,,,,,,,
medium_t6_6,n/a,n/a,6,6,F6,21232,6072,,,,,,,,,,,,,
medium_t24_1,n/a,n/a,24,1,A6,12636,2278,,,,,,,,,,,,,
medium_t24_2,n/a,n/a,24,2,B6,11887,2263,,,,,,,,,,,,,
medium_t24_3,n/a,n/a,24,3,C6,11656,2257,,,,,,,,,,,,,
medium_t24_4,n/a,n/a,24,4,D6,11780,2235,,,,,,,,,,,,,
medium_t24_5,n/a,n/a,24,5,E6,12930,2318,,,,,,,,,,,,,
medium_t24_6,n/a,n/a,24,6,F6,12181,2237,,,,,,,,,,,,,
medium_t48_1,n/a,n/a,24,1,A6,6825,2371,,,,,,,,,,,,,
medium_t48_2,n/a,n/a,48,2,B6,6794,2355,,,,,,,,,,,,,
medium_t48_3,n/a,n/a,48,3,C6,6680,2372,,,,,,,,,,,,,
medium_t48_4,n/a,n/a,48,4,D6,6743,2375,,,,,,,,,,,,,
medium_t48_5,n/a,n/a,48,5,E6,6608,2403,,,,,,,,,,,,,
medium_t48_6,n/a,n/a,48,6,F6,6590,2380,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
